"Mean population (by year of birth) by region, age, sex and year"

"region","age","sex","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"00 Sweden","0 years","men",27342.0,27713.5,28264.0,28860.0,29748.0,28679.5,29154.5,29324.5,29792.0,29997.0,30502.5,29949.5,30016.0,29738.0,29242.5
"00 Sweden","0 years","women",25797.0,26165.0,26568.0,27200.0,28207.0,27377.5,27589.0,27679.5,28148.0,27942.0,29009.0,28357.5,28403.5,27953.5,27552.0
"00 Sweden","1 year","men",52432.5,54963.0,55794.5,56858.0,58043.0,59847.5,57709.0,58674.0,59069.0,60112.0,60673.0,61768.0,60436.0,60512.5,59767.0
"00 Sweden","1 year","women",49801.5,51941.5,52665.5,53425.0,54728.5,56728.5,55074.0,55531.0,55721.0,56794.0,56550.0,58731.0,57252.0,57295.0,56220.0
"00 Sweden","2 years","men",52700.5,52935.0,55515.5,56398.5,57397.0,58587.0,60456.0,58390.0,59423.0,59890.5,61228.5,61805.0,62946.0,61285.5,61170.5
"00 Sweden","2 years","women",49940.5,50420.0,52556.0,53248.0,53912.5,55267.0,57277.0,55616.0,56233.0,56458.5,57820.0,57669.5,59804.0,58110.5,57930.0
"00 Sweden","3 years","men",51849.0,53146.5,53389.0,55999.5,56789.5,57788.5,59039.0,60986.5,59058.0,60234.5,60835.0,62321.0,62644.0,63663.0,61712.0
"00 Sweden","3 years","women",49339.5,50348.0,50887.5,53043.0,53602.5,54292.0,55691.0,57767.5,56134.0,56939.5,57304.5,58790.5,58457.5,60440.0,58538.0
"00 Sweden","4 years","men",50276.5,52237.0,53619.0,53855.5,56364.5,57116.0,58171.5,59547.5,61584.5,59795.5,61251.0,61855.0,63232.5,63282.5,64064.0
"00 Sweden","4 years","women",48070.0,49713.5,50723.5,51321.0,53414.0,53853.0,54673.0,56162.0,58303.5,56778.0,57794.5,58229.5,59571.5,59052.5,60777.0
"00 Sweden","5 years","men",48356.5,50640.5,52618.0,54065.5,54219.5,56660.5,57474.5,58692.0,60100.0,62297.5,60718.5,62291.0,62709.5,63900.5,63618.0
"00 Sweden","5 years","women",45785.0,48426.0,50106.0,51119.0,51644.0,53696.5,54203.0,55182.0,56721.5,58918.0,57609.5,58785.5,59036.0,60159.0,59377.5
"00 Sweden","6 years","men",48272.5,48726.0,51015.0,53006.0,54405.0,54490.0,57004.5,57960.0,59360.5,60719.5,63202.0,61697.5,63091.5,63303.0,64199.5
"00 Sweden","6 years","women",45494.0,46126.0,48791.0,50513.0,51439.0,51892.5,54006.5,54723.5,55798.5,57386.0,59755.5,58504.0,59667.5,59602.0,60468.5
"00 Sweden","7 years","men",46946.0,48686.5,49153.0,51431.0,53370.0,54692.5,54815.5,57532.5,58575.0,60077.0,61564.5,64185.0,62529.5,63706.5,63599.0
"00 Sweden","7 years","women",44753.5,45871.5,46506.0,49176.0,50832.0,51684.0,52213.0,54492.5,55339.0,56478.5,58176.0,60667.5,59249.0,60312.5,59914.0
"00 Sweden","8 years","men",47818.5,47313.0,49085.5,49556.5,51762.5,53670.5,55024.5,55356.0,58166.5,59231.5,60927.0,62519.0,65018.5,63159.5,64088.0
"00 Sweden","8 years","women",44948.0,45080.0,46233.5,46902.0,49475.0,51064.0,51971.0,52752.0,55102.0,55956.5,57305.0,59007.0,61420.0,59819.5,60641.0
"00 Sweden","9 years","men",48164.0,48202.5,47743.0,49516.5,49927.5,52043.0,54001.5,55560.5,56000.0,58832.0,60070.0,61887.0,63344.5,65652.0,63527.5
"00 Sweden","9 years","women",45690.5,45303.0,45453.0,46631.5,47231.0,49712.0,51369.0,52461.0,53391.5,55721.0,56705.5,58185.5,59780.0,62006.0,60126.5
"00 Sweden","10 years","men",50240.0,48566.5,48593.0,48154.5,49871.0,50251.0,52395.0,54555.0,56223.0,56690.5,59640.5,60995.5,62781.0,63974.5,66056.0
"00 Sweden","10 years","women",48225.0,46058.5,45680.5,45843.5,46976.0,47490.0,50033.0,51867.5,53077.5,54043.0,56450.0,57537.5,59010.5,60407.0,62351.5
"00 Sweden","11 years","men",54705.0,50657.0,48986.5,49014.5,48492.0,50174.0,50590.5,52953.5,55211.0,56881.0,57537.5,60537.5,61797.5,63479.5,64345.0
"00 Sweden","11 years","women",51755.5,48600.0,46436.5,46053.0,46192.0,47254.0,47845.0,50555.0,52466.5,53676.5,54807.0,57275.0,58302.5,59650.5,60768.5
"00 Sweden","12 years","men",58841.5,55136.5,51103.5,49396.5,49395.5,48808.0,50550.0,51096.5,53638.5,55869.5,57712.5,58463.0,61370.5,62461.0,63896.0
"00 Sweden","12 years","women",56462.5,52136.0,48973.0,46857.5,46368.0,46473.5,47634.0,48362.0,51170.0,53081.5,54370.5,55577.5,58012.5,58912.0,60024.5
"00 Sweden","13 years","men",61505.5,59216.0,55556.5,51589.0,49746.5,49724.0,49196.0,51154.0,51759.0,54322.5,56714.5,58628.5,59303.5,62051.0,62884.5
"00 Sweden","13 years","women",58899.5,56805.0,52500.0,49368.5,47226.0,46659.0,46779.0,48176.5,48924.0,51769.0,53779.5,55094.0,56272.5,58596.0,59308.0
"00 Sweden","14 years","men",64965.5,61876.5,59663.0,55992.0,52036.0,50101.5,50152.0,49790.0,51917.5,52518.0,55226.5,57689.5,59447.0,59971.5,62491.5
"00 Sweden","14 years","women",61430.5,59263.5,57145.5,52898.0,49721.0,47494.0,47009.5,47275.0,48785.0,49491.0,52472.0,54521.0,55766.0,56851.5,58969.5
"00 Sweden","15 years","men",66482.5,65373.0,62297.0,60190.0,56437.0,52503.0,50655.5,50851.0,50600.5,52791.0,53648.0,56391.5,58541.5,60112.0,60415.5
"00 Sweden","15 years","women",62616.5,61763.5,59635.5,57552.5,53263.5,50047.0,47800.5,47546.5,47887.0,49429.5,50154.5,53206.5,55177.5,56327.0,57225.5
"00 Sweden","16 years","men",66956.0,66976.5,65877.5,62946.5,60783.5,57104.5,53277.5,51540.0,51928.0,51690.0,54252.0,55284.0,57472.5,59206.5,60577.5
"00 Sweden","16 years","women",63555.0,62960.5,62121.0,60087.0,57947.5,53619.0,50469.5,48366.5,48259.5,48589.5,50237.5,50939.5,53898.5,55743.5,56698.5
"00 Sweden","17 years","men",63509.5,67527.0,67617.0,66539.5,63713.0,61561.0,58007.0,54351.0,52733.5,53326.0,53485.5,56250.5,56655.0,58209.5,59649.5
"00 Sweden","17 years","women",60049.0,63929.5,63375.0,62577.5,60544.5,58331.0,54078.5,51071.0,49097.5,49035.0,49486.0,51101.0,51675.0,54484.5,56151.5
"00 Sweden","18 years","men",62153.5,64005.0,68146.5,68233.0,67177.0,64355.0,62303.0,58883.5,55456.5,53980.5,55239.5,56355.0,58000.0,57422.0,58693.5
"00 Sweden","18 years","women",58485.0,60502.5,64375.5,63931.0,63109.0,60979.5,58815.5,54687.5,51794.0,49894.0,49992.5,50530.0,51924.5,52293.5,54906.5
"00 Sweden","19 years","men",58045.0,62544.0,64462.0,68600.0,68695.0,67620.5,64793.5,62890.5,59689.5,56360.5,55269.5,56935.5,59606.0,59338.5,57873.5
"00 Sweden","19 years","women",55818.0,59021.0,61024.5,64981.5,64506.0,63596.0,61465.5,59406.0,55408.0,52520.0,50822.0,50908.5,51377.0,52638.0,52785.0
"00 Sweden","20 years","men",57496.5,58442.0,62938.0,64867.5,68971.0,69039.5,67981.5,65234.0,63589.5,60528.0,57492.0,56376.0,58298.5,62755.5,60130.0
"00 Sweden","20 years","women",54567.0,56397.0,59609.5,61633.0,65602.0,64974.0,64101.0,62056.0,60122.5,56201.5,53458.5,51724.5,51616.5,51955.0,53103.0
"00 Sweden","21 years","men",56067.5,58034.0,58866.0,63423.0,65332.0,69362.0,69417.5,68444.5,66003.0,64493.0,61866.5,58672.5,57141.5,59809.0,64677.0
"00 Sweden","21 years","women",53290.5,55195.5,57023.0,60309.0,62317.0,66089.0,65503.5,64719.0,62726.0,60968.5,57154.5,54476.0,52489.0,52292.5,52460.5
"00 Sweden","22 years","men",54032.5,56874.0,58731.5,59645.5,64182.5,65874.5,69923.5,70006.5,69262.0,67165.5,65959.5,63360.0,59573.5,57995.0,60846.5
"00 Sweden","22 years","women",51448.5,54063.5,56021.5,57859.5,61236.0,62989.0,66760.5,66247.0,65517.0,63577.0,62138.5,58275.5,55421.5,53316.5,52986.5
"00 Sweden","23 years","men",53262.0,55142.0,57882.0,59823.0,60901.5,65087.5,66624.5,70772.5,71006.0,70518.5,68844.0,67662.5,64516.0,60572.5,58850.0
"00 Sweden","23 years","women",50932.5,52433.0,55037.0,57215.0,59008.0,62163.0,63889.5,67738.0,67233.0,66566.5,64897.0,63567.5,59529.5,56503.5,54266.5
"00 Sweden","24 years","men",54296.0,54587.5,56389.0,59219.5,61261.5,62017.5,65962.5,67592.5,71964.0,72394.0,72238.5,70568.5,68921.5,65612.0,61458.5
"00 Sweden","24 years","women",51742.5,51958.5,53568.0,56274.5,58508.5,60096.0,63142.5,65015.5,68916.0,68382.5,68010.0,66437.5,64896.5,60753.0,57512.0
"00 Sweden","25 years","men",54503.5,55591.0,55897.5,57724.5,60757.5,62427.5,62917.5,66982.0,68827.5,73383.5,74156.5,73990.5,71849.5,69965.5,66505.0
"00 Sweden","25 years","women",52625.0,52727.0,53032.0,54788.0,57501.5,59515.5,61101.0,64253.0,66168.0,70113.0,69752.0,69599.0,67808.5,66116.5,61728.0
"00 Sweden","26 years","men",56501.0,55645.5,56762.0,57203.0,59192.5,61973.5,63235.0,63917.0,68253.0,70243.0,75153.0,75932.5,75303.5,72981.5,70813.0
"00 Sweden","26 years","women",54293.0,53564.0,53725.0,54131.0,55943.0,58466.0,60388.5,62134.0,65396.5,67265.0,71444.5,71279.0,70935.0,69062.5,67111.0
"00 Sweden","27 years","men",55706.5,57621.5,56753.0,57912.5,58496.0,60301.0,62790.5,64109.5,65086.5,69613.5,72022.5,76958.0,77328.0,76419.5,73862.5
"00 Sweden","27 years","women",53698.5,55144.5,54439.5,54743.5,55172.0,56827.0,59276.0,61359.5,63124.0,66439.0,68558.5,72986.0,72656.5,72103.5,70010.0
"00 Sweden","28 years","men",54303.5,56718.0,58610.5,57787.0,59090.0,59422.0,60995.0,63568.5,65218.5,66266.5,71220.0,73837.0,78323.0,78450.0,77295.5
"00 Sweden","28 years","women",52413.0,54365.5,56009.5,55231.0,55714.0,56006.5,57537.5,60051.5,62328.0,64074.5,67626.0,70050.0,74409.0,73844.0,73021.5
"00 Sweden","29 years","men",55765.5,55233.5,57699.0,59591.5,58661.5,59934.0,60056.5,61760.0,64571.0,66355.5,67689.5,72905.5,75178.0,79478.0,79270.5
"00 Sweden","29 years","women",53489.5,53065.5,55094.0,56987.5,55982.5,56525.0,56742.0,58342.5,60890.5,63193.0,65267.5,69076.0,71387.5,75673.0,74705.5
"00 Sweden","30 years","men",57099.5,56599.5,56091.5,58577.5,60535.5,59347.5,60494.5,60715.0,62704.5,65603.0,67752.0,69278.5,74253.0,76273.5,80303.0
"00 Sweden","30 years","women",54831.5,54126.5,53763.5,55894.0,57852.0,56674.0,57286.0,57467.0,59217.0,61789.5,64258.5,66598.0,70404.0,72557.0,76567.0
"00 Sweden","31 years","men",59665.0,57848.5,57396.5,56869.5,59315.5,61234.0,59916.0,61091.0,61488.0,63670.5,66894.0,69282.0,70525.0,75401.5,77049.5
"00 Sweden","31 years","women",57563.0,55430.5,54827.0,54553.5,56633.0,58495.0,57293.5,57995.5,58216.5,59967.0,62847.5,65538.0,67748.0,71480.5,73379.5
"00 Sweden","32 years","men",62735.5,60330.0,58580.5,58139.5,57553.0,59880.5,61782.5,60447.0,61853.5,62315.5,64896.5,68318.0,70463.5,71491.0,76212.0
"00 Sweden","32 years","women",60395.5,58099.0,56066.5,55591.5,55223.0,57210.5,59079.5,57900.5,58676.5,58956.5,60867.0,64078.5,66688.0,68782.5,72223.0
"00 Sweden","33 years","men",62076.0,63405.5,60974.5,59240.0,58749.0,58068.5,60333.5,62345.5,61104.0,62654.0,63381.5,66192.5,69391.5,71426.0,72154.5
"00 Sweden","33 years","women",60152.5,60903.5,58698.5,56708.0,56160.5,55716.5,57786.0,59727.5,58567.5,59389.5,59842.0,61993.0,65168.0,67619.5,69453.5
"00 Sweden","34 years","men",63377.0,62616.0,63963.0,61540.5,59749.0,59226.0,58495.0,60832.0,63047.0,61786.0,63633.0,64524.5,67175.0,70304.0,71982.0
"00 Sweden","34 years","women",61338.5,60640.5,61507.0,59334.0,57260.5,56613.0,56228.5,58352.5,60429.5,59227.0,60172.5,60898.0,63006.0,66026.0,68177.5
"00 Sweden","35 years","men",63884.0,63967.0,63157.0,64469.0,62053.0,60127.0,59634.5,58945.5,61512.5,63805.0,62646.5,64775.5,65429.5,67980.0,70905.5
"00 Sweden","35 years","women",61664.5,61791.5,61143.0,62130.5,59861.5,57700.5,57093.0,56795.0,58899.5,61103.0,59971.0,61050.0,61830.0,63844.5,66585.5
"00 Sweden","36 years","men",61894.0,64341.0,64454.5,63638.5,64876.0,62425.5,60454.5,60056.0,59526.5,62181.5,64727.5,63599.0,65667.0,66178.0,68446.0
"00 Sweden","36 years","women",60289.5,62070.5,62314.5,61651.0,62611.5,60286.0,58142.5,57562.5,57365.5,59470.5,61895.5,60798.0,61920.0,62560.0,64354.0
"00 Sweden","37 years","men",61589.5,62401.0,64712.5,64880.5,63995.0,65171.5,62770.5,60830.5,60596.0,60150.5,62936.5,65705.5,64330.5,66379.0,66598.0
"00 Sweden","37 years","women",59416.0,60689.0,62495.0,62825.0,62047.0,63000.5,60671.5,58591.5,58091.5,57904.5,60145.5,62754.5,61517.0,62614.5,63018.5
"00 Sweden","38 years","men",64383.5,61929.5,62814.5,65014.5,65193.0,64251.0,65492.5,63126.5,61310.0,61198.5,60914.5,63761.0,66426.5,64892.0,66864.0
"00 Sweden","38 years","women",62426.5,59778.5,61086.0,62921.5,63206.5,62389.0,63411.0,61077.0,59050.0,58610.0,58531.0,60890.5,63473.0,62139.5,63010.0
"00 Sweden","39 years","men",68652.0,64723.0,62302.0,63173.0,65238.5,65401.0,64521.0,65846.0,63591.5,61838.5,61889.5,61713.0,64407.5,66984.0,65158.0
"00 Sweden","39 years","women",65445.0,62714.5,60126.0,61525.0,63295.5,63507.5,62754.0,63823.5,61531.0,59505.0,59175.5,59245.0,61552.0,64059.5,62519.5
"00 Sweden","40 years","men",69367.0,68925.5,65032.0,62630.5,63459.5,65417.5,65610.0,64806.0,66285.0,64094.5,62478.5,62564.5,62279.5,64928.0,67309.5
"00 Sweden","40 years","women",66168.5,65708.0,63014.0,60512.0,61902.0,63585.0,63809.5,63097.5,64230.5,61960.0,59988.0,59834.5,59850.5,62073.0,64434.5
"00 Sweden","41 years","men",69708.0,69639.0,69138.5,65288.0,62864.0,63670.5,65649.5,65862.0,65221.5,66776.0,64675.0,63121.0,63056.5,62712.0,65182.5
"00 Sweden","41 years","women",66403.0,66396.5,65981.5,63363.5,60806.5,62186.5,63859.0,64160.0,63438.5,64653.0,62420.5,60522.5,60431.0,60308.0,62389.5
"00 Sweden","42 years","men",69286.0,69897.0,69872.0,69283.5,65490.0,63011.0,63869.0,65899.0,66225.0,65671.0,67353.0,65270.0,63600.0,63452.0,62972.5
"00 Sweden","42 years","women",66735.5,66621.5,66650.5,66324.0,63684.0,61040.5,62448.5,64151.0,64536.5,63805.5,65173.5,62944.0,61015.0,60899.5,60582.0
"00 Sweden","43 years","men",64994.0,69416.0,70048.0,70033.5,69389.0,65615.0,63136.0,64124.0,66242.0,66663.5,66113.0,67904.5,65671.0,63972.0,63696.5
"00 Sweden","43 years","women",61719.0,66924.5,66850.5,66933.5,66598.0,63921.0,61304.5,62741.5,64453.5,64904.5,64247.5,65734.5,63396.5,61388.5,61190.5
"00 Sweden","44 years","men",61607.5,65169.0,69538.5,70169.0,70117.5,69468.0,65779.5,63296.0,64474.0,66623.5,67172.5,66580.0,68304.5,65977.0,64174.5
"00 Sweden","44 years","women",59295.0,61934.0,67100.0,67120.5,67132.5,66778.0,64127.0,61555.5,63041.5,64782.0,65296.0,64681.0,66137.0,63740.0,61585.5
"00 Sweden","45 years","men",59713.0,61739.5,65279.0,69620.0,70230.0,70143.5,69564.5,65968.5,63572.5,64840.5,67025.0,67646.5,66941.0,68596.0,66105.0
"00 Sweden","45 years","women",57570.0,59483.5,62121.0,67296.0,67337.0,67286.5,66945.5,64362.0,61807.5,63311.5,65158.5,65683.0,65026.5,66421.0,63951.5
"00 Sweden","46 years","men",58627.5,59811.0,61829.5,65384.0,69639.5,70230.0,70202.0,69682.0,66208.5,63882.5,65207.0,67385.5,68001.5,67194.5,68760.0
"00 Sweden","46 years","women",57179.0,57716.5,59671.0,62301.5,67481.0,67461.5,67449.5,67109.0,64607.0,62064.0,63648.5,65528.5,66019.0,65285.5,66608.0
"00 Sweden","47 years","men",59457.0,58743.5,59878.0,61879.5,65429.0,69619.5,70248.0,70301.0,69848.5,66473.5,64206.5,65557.0,67626.0,68260.0,67323.0
"00 Sweden","47 years","women",57283.5,57303.5,57857.5,59849.0,62421.0,67586.5,67578.5,67594.5,67267.0,64813.5,62368.0,63988.5,65820.0,66278.5,65437.0
"00 Sweden","48 years","men",59117.0,59480.0,58780.0,59912.5,61874.0,65382.5,69610.0,70317.5,70472.5,70033.5,66753.0,64535.0,65795.5,67777.5,68353.0
"00 Sweden","48 years","women",57273.5,57398.0,57432.5,57986.5,59965.5,62499.5,67642.0,67699.0,67720.0,67450.0,65056.0,62651.5,64246.5,66023.5,66417.0
"00 Sweden","49 years","men",59381.0,59110.5,59464.5,58796.0,59927.0,61845.5,65342.5,69632.5,70416.5,70611.5,70220.0,67008.0,64751.5,65949.5,67829.5
